Distribuidora;Conjunto;Municipio;Estado;MUNICÍPIO_R;Endereco;LAT_SUB;LONG_SUB
COELBA;ITABUNA II 13,8KV;ITABUNA;BA;ITABUNA;COELBA SUBESTACAO ITABUNA II 13,8KV;-14,7835197;-39,2782478
COELBA;ITABUNA II 34,5KV;ITABUNA;BA;ITABUNA;COELBA SUBESTACAO ITABUNA II 34,5KV;-14,7835197;-39,2782478
EQUATORIAL PA;CIDADE NOVA;MARABA;PA;MARABA;EQUATORIAL PA SUBESTACAO CIDADE NOVA;-5,3421964;-49,0818405
EQUATORIAL PA;ITACAIUNAS;MARABA;PA;MARABA;EQUATORIAL PA SUBESTACAO ITACAIUNAS;-5,3421964;-49,0818405
EQUATORIAL PA;MARABA I;MARABA;PA;MARABA;EQUATORIAL PA SUBESTACAO MARABA I;-5,3421964;-49,0818405
EQUATORIAL PA;MARABA II;MARABA;PA;MARABA;EQUATORIAL PA SUBESTACAO MARABA II;-5,3421964;-49,0818405
EQUATORIAL PA;MORADA NOVA;MARABA;PA;MARABA;EQUATORIAL PA SUBESTACAO MORADA NOVA;-5,3421964;-49,0818405
EMT;FERRONORTE;RONDONOPOLIS;MT;RONDONOPOLIS;EMT SUBESTACAO FERRONORTE;-16,4719654;-54,5992103
EMT;RONDONOPOLIS  CENTRO;RONDONOPOLIS;MT;RONDONOPOLIS;EMT SUBESTACAO RONDONOPOLIS  CENTRO;-16,47;-54,63
EMT;RONDONOPOLIS 1;RONDONOPOLIS;MT;RONDONOPOLIS;EMT SUBESTACAO RONDONOPOLIS 1;-16,4719654;-54,5992103
EMT;RONDONOPOLIS 1_34,5KV;RONDONOPOLIS;MT;RONDONOPOLIS;EMT SUBESTACAO RONDONOPOLIS 1_34,5KV;-16,4719654;-54,5992103
CEEE-D;ALVORADA;ALVORADA;RS;ALVORADA;CEEE-D SUBESTACAO ALVORADA;-29,9967842;-51,0694847
CELESC-DIS;CRICIUMA;CRICIUMA;SC;CRICIUMA;CELESC-DIS SUBESTACAO CRICIUMA;-28,6935295;-49,3524362
CELESC-DIS;CRICIUMA FLORESTA;CRICIUMA;SC;CRICIUMA;CELESC-DIS SUBESTACAO CRICIUMA FLORESTA;-28,6758136;-49,4100598
EMS;DOURADOS ALVORADA;DOURADOS;MS;DOURADOS;EMS SUBESTACAO DOURADOS ALVORADA;-22,2091154;-54,8381522
EMS;DOURADOS DAS NACOES;DOURADOS;MS;DOURADOS;EMS SUBESTACAO DOURADOS DAS NACOES;-22,2292174;-54,7490655
EMS;DOURADOS INDUSTRIAL;DOURADOS;MS;DOURADOS;EMS SUBESTACAO DOURADOS INDUSTRIAL;-22,2292174;-54,7490655
EMS;DOURADOS MAXWELL;DOURADOS;MS;DOURADOS;EMS SUBESTACAO DOURADOS MAXWELL;-22,2202854;-54,7943191
CEEE-D;CASSINO;RIO GRANDE;RS;RIO GRANDE;CEEE-D SUBESTACAO CASSINO;-32,1694919;-52,1749447
CEEE-D;QUINTA;RIO GRANDE;RS;RIO GRANDE;CEEE-D SUBESTACAO QUINTA;-32,0767186;-52,2683031
CEEE-D;RIO GRANDE 1;RIO GRANDE;RS;RIO GRANDE;CEEE-D SUBESTACAO RIO GRANDE 1;-32,0297965;-52,1001881
CEEE-D;RIO GRANDE 2;RIO GRANDE;RS;RIO GRANDE;CEEE-D SUBESTACAO RIO GRANDE 2;-32,0424639;-52,0882069
CEEE-D;RIO GRANDE 3;RIO GRANDE;RS;RIO GRANDE;CEEE-D SUBESTACAO RIO GRANDE 3;-32,1165526;-52,112618
CELG-D;CABRIUVA S1;RIO VERDE;GO;RIO VERDE;CELG-D SUBESTACAO CABRIUVA S1;-17,8186893;-50,9676361
CELG-D;CABRIUVA S2;RIO VERDE;GO;RIO VERDE;CELG-D SUBESTACAO CABRIUVA S2;-17,8186893;-50,9676361
